"station_id","station_geog","distance"
"3060","0101000020E6100000FB22A12DE7CA52C0C9AB730CC8FA4340","2050"
"3061","0101000020E6100000535C55F65DCB52C0A01A2FDD24FA4340","1300"
"3062","0101000020E6100000F67AF7C77BCB52C0F6622827DAF94340","1150"
"3063","0101000020E610000017B7D100DECA52C0A29C685721F94340","2050"
"3064","0101000020E610000030D80DDB16CB52C08048BF7D1DF84340","2250"
"3065","0101000020E6100000791EDC9DB5C952C0151DC9E53FFC4340","4050"
"3066","0101000020E6100000A5A0DB4B1ACB52C0A2629CBF09F94340","1800"
"3067","0101000020E6100000ED815660C8CC52C08FDFDBF467FB4340","1450"
"3068","0101000020E6100000693524EEB1CA52C016DEE522BEF74340","2900"
"3069","0101000020E61000003D7E6FD39FC952C09D853DEDF0F74340","4000"
"3072","0101000020E6100000BAA0BE654EC952C0A4DFBE0E9CF74340","4500"
"3073","0101000020E610000068D0D03FC1C952C057B2632310FB4340","3550"
"3074","0101000020E6100000569A94826ECD52C0910A630B41FA4340","1500"
"3075","0101000020E6100000B81E85EB51CA52C032ACE28DCCFB4340","3150"
"3077","0101000020E61000006AA4A5F276CA52C01CB62DCA6CFC4340","3300"
"3078","0101000020E6100000D061BEBC00CB52C0E78C28ED0DFA4340","1750"
"3086","0101000020E610000006D847A7AECA52C05C035B2558F84340","2600"
"3088","0101000020E6100000A9A44E4013C952C0232D95B723FC4340","4750"
"3093","0101000020E61000009981CAF8F7CB52C07C2C7DE882FE4340","4000"
"3096","0101000020E61000002FDD240681CB52C0A60F5D50DFFE4340","4450"
"3097","0101000020E610000043E7357689C852C0AF5A99F04BFD4340","5850"
"3098","0101000020E6100000F5673F5244CA52C0B329577897F74340","3400"
"3099","0101000020E610000021EA3E00A9C952C08811C2A38DF74340","4100"
"3100","0101000020E6100000C1ADBB79AAC952C0DF1AD82AC1F64340","4500"
"3101","0101000020E6100000EA04341136CA52C0B1E1E995B2F84340","3000"
"3102","0101000020E6100000963E74417DCB52C0E4F736FDD9FB4340","2000"
"3104","0101000020E6100000DFF8DA334BCC52C0B28009DCBAFB4340","1600"
"3106","0101000020E610000027BD6F7CEDCB52C0FB3F87F9F2FE4340","4400"
"3107","0101000020E61000000E84640113CC52C06FD8B628B3FD4340","3300"
"3110","0101000020E61000003B3602F1BAC852C0C976BE9F1AFB4340","4900"
"3111","0101000020E6100000AB21718FA5CD52C08C2D043928FD4340","3300"
"3112","0101000020E61000008716D9CEF7CD52C0679B1BD313FA4340","2200"
"3113","0101000020E6100000983446EBA8CC52C0E960FD9FC3FC4340","2500"
"3114","0101000020E6100000C156091687CB52C079E9263108F84340","1950"
"3115","0101000020E61000009B728577B9CA52C0E38DCC237FFC4340","3100"
